Modelo,Accuracy,Precision,Recall,F1_Score,AUC_ROC
Random Forest,0.781,0.44816053511705684,0.32923832923832924,0.37960339943342775,0.7091205226798448
Logístico,0.788,0.3835616438356164,0.0687960687960688,0.11666666666666667,0.7436080147944555
