Modelo,Accuracy,Precision,Recall,F1_Score,AUC_ROC
Random Forest (Class Weights),0.7845,0.4574468085106383,0.31695331695331697,0.37445573294629897,0.7021782953986345
Logístico (Class Weights),0.705,0.37273991655076494,0.6584766584766585,0.47602131438721135,0.7480130361486294
