"Frecuencia,""Transaccionalidad"",""Ingresos"""
13,1201.61,1800
1,0.02,723.45
2,0.04,3150
17,3513.3,819
8,265.91,537.87
25,3451.27,1449
6,218.98,178
3,607.63,1760
6,232.82,150
8,2695.09,727
29,8776.6,1022.18
32,1623.99,819.16
1,0.02,2700
22,44.97,1200
28,14387.91,1699.94
14,2981.88,3108.93
18,2021.88,2386.94
2,1.03,2156
19,2883.15,1800
42,5985.13,1854.76
1,0.02,0
34,18494.81,1022.03
40,3313.02,1268
14,1231.45,725.86
32,790.93,158
15,3835.7,2170.4
25,1659.36,158
24,2381.59,1212
13,1832.37,800
12,685.57,1200
9,307.45,971.35
24,2589.42,860.69
23,2143.68,0
1,0.02,1000
6,2001.44,2730
22,1853.42,954.51
11,1589.37,944.16
28,2246.15,986.03
5,237.54,158
3,561.74,0
14,1215.11,0
17,1173.4,454.66
29,4331.93,833.77
1,0.02,1000
2,50.04,1750
73,7622.74,1400
10,2017.02,653.33
11,1540.05,807.63
12,1903.93,880
24,3442.16,1623.63
3,61.96,632.77
16,1731.15,150
12,2016.54,935
29,1749.22,807.63
10,540.39,708.51
9,9350.4,178
15,1689.67,564.61
9,1166.27,915.88
7,445.12,1000
12,2647.17,860.69
1,0.03,0
15,1063.71,1122
2,0.04,0
12,2689.25,0
2,2.96,3199.89
1,0.02,965.15
9,2051.96,81069
1,0.15,0
7,1133.06,807.63
3,0.07,937.59
24,28034.25,0
25,1874.13,1200
7,757.79,1600
6,313.16,158
11,1943.32,807.63
16,1593.41,819.16
21,1083.91,493.72
28,1786.55,707.16
27,3528.96,807
14,486.59,155
4,799.66,2831.12
2,331.89,2644
4,426.05,194.84
22,5041.15,1018.41
11,1002.76,819.16
3,70.31,0
2,19.71,1990
11,1557.97,740.79
5,201.38,1369.12
6,1670.86,150
33,3227.74,804.63
14,1597.36,874.53
2,1.98,3306
42,1545.89,827.63
5,248.24,158
2,30.82,776.63
16,1209,0
12,2591.42,901.56
19,1586.8,819.16
23,3363.5,1022.18
4,353.28,1043
27,10654.88,1426.81
12,1993.53,986.03
31,2570.37,1090
1,0.4,158
19,1926.15,0
22,1617.01,819.16
2,1.02,150
10,1858.78,732
10,1512.43,819.16
9,795.79,512.2
15,581.9,1640
23,2552.51,849.15
11,2175.65,781.18
3,142.84,1090.62
20,2928.7,1755
11,1844.38,849.15
14,1673.72,1090.62
32,1630.24,2031.87
6,731.88,3039.58
18,1840.72,860
17,2705.69,800
3,977.56,200
11,1166.6,819.16
23,1686.79,819.16
16,1321.36,807
3,166.76,1003.72
7,1112.25,680.55
2,326.85,326
15,55937.17,1304
5,759.19,800
27,4212.39,2027.28
5,355.86,1130.61
1,0.05,1005
18,2866.41,732.49
2,0.04,610.77
12,2270.66,1115
5,299.74,0
23,2130.99,600
34,2999.07,1100
29,1513.18,810
5,602.79,2317
2,0.04,1550
8,951.57,1328.1
16,2842.44,857.69
10,3940.88,1877.25
13,1847.74,703.77
19,19193.49,819.16
4,24.05,920.67
17,1297.73,929.41
13,5572.02,5752.5
19,2466.77,1234.42
18,706.67,1636
2,200.31,0
32,3220.38,1110.61
1,0.01,0
14,2340.53,1280.56
11,2425.03,1270.61
46,2557.53,1270.62
23,5948.8,0
10,1025.64,1127.96
2,19.71,0
14,1797.6,791.71
5,1789.85,3800
4,179.84,1200
3,1821.81,1686.87
7,454.99,754.63
6,292.67,150
15,2211.73,907.56
8,630.63,400
8,1146.55,750
36,7086.02,3317.82
23,3205.84,807.63
18,2386.13,969.12
2,200.4,400
7,1446.05,1200
6,1087.82,624.05
17,2155,1090.62
29,1906.39,1221.31
2,0.04,1209.58
3,44.05,1003
10,357.17,158
36,2395.76,1130
22,1952.75,821
1,0.14,0
11,1644.48,807.63
19,1606.88,150
7,589.4,725.88
16,3898,595.13
5,2352.04,3220
1,0.02,354
1,0.02,1000
18,3230.29,1251.27
27,1453.14,861
4,979.7,1935
1,0.02,1570
1,0.12,1410.64
22,3224.45,1100
23,1890.59,2459.49
13,1913.11,874.53
2,171.55,1973.3
1,0.02,0
14,1529.27,849.15
12,13323.17,2537.52
10,1108.14,2520
9,564.84,325.58
148,4640.9,1375
8,2080.75,979
3,3353.61,2000
7,1286.03,815.32
1,0.02,1038.19
1,0.62,540
28,4379.07,656.67
16,2481.02,1212.53
15,379.46,150
7,265.41,1053.48
2,1.02,50
1,0.03,833
1,0.02,1200
15,1895.02,849.15
28,4624.08,1576.64
7,1250.3,867.76
3,90.47,0
3,2.06,2593.07
13,1062.41,800
8,600.17,1782.04
45,3520.97,1834.01
11,235.3,1120
16,2076.62,1113.43
22,3906.87,5000
18,2703.65,1003.72
2,20.06,699.75
27,1689.82,657.39
9,381.92,330
8,5996.9,804.16
18,4054.61,833.77
2,1.02,70
5,1669.79,736.16
1,0.15,754.98
17,5134.3,693.43
7,528.89,1301
