Frecuencia,Transaccionalidad,Ingresos,Cluster
54.0,1553.89,477.38,2
32.0,1867.32,158.0,2
20.0,1862.1,750.31,0
18.0,1655.58,474.42,0
16.0,1821.68,833.77,0
16.0,2558.1,807.63,0
13.0,2127.94,1730.0,1
4.0,231.88,150.0,0
6.0,173.13,1003.72,0
7.0,1754.12,849.15,0
1.0,0.02,1250.0,0
5.0,309.25,180.0,0
1.0,0.02,100.0,0
26.0,2144.37,1000.0,2
2.0,1179.87,0.0,0
22.0,3801.15,324.9,2
18.0,2579.56,850.0,0
8.0,789.31,533.0,0
24.0,13921.1,652.0,2
12.0,1604.13,849.15,0
6.0,2764.25,1875.0,1
50.0,7561.4,0.0,2
18.0,710.71,158.0,0
23.0,2208.41,1130.0,2
11.0,1801.21,0.0,0
1.0,0.02,2850.0,1
11.0,165.14,930.0,0
29.0,2350.07,1000.72,2
12.0,2757.54,819.16,0
7.0,1140.21,807.63,0
1.0,0.02,0.0,0
25.0,1355.2,800.0,2
18.0,3293.36,950.0,2
17.0,4419.09,160.0,2
8.0,1086.29,0.0,0
12.0,2122.77,1003.72,0
7.0,1552.37,937.59,0
12.0,2097.51,731.0,0
17.0,1485.46,1572.57,1
1.0,0.02,0.0,0
13.0,22142.05,956.79,2
5.0,319.22,807.63,0
31.0,981.31,304.03,2
25.0,4476.19,803.0,2
10.0,1609.54,700.0,0
3.0,1263.15,890.0,0
39.0,2117.14,833.77,2
12.0,1853.87,986.03,0
1.0,0.04,2000.0,1
36.0,3905.81,1470.31,2
20.0,1804.95,921.77,0
37.0,2663.0,1150.0,2
8.0,262.15,158.0,0
4.0,27.14,700.0,0
24.0,5854.29,1109.77,2
7.0,249.81,158.0,0
10.0,1796.31,1220.0,0
3.0,590.08,793.26,0
16.0,4122.65,1260.0,2
26.0,2769.26,1234.65,2
13.0,2375.9,1546.9,1
2.0,19.71,150.0,0
1.0,0.31,1823.29,1
2.0,1.02,1580.0,1
3.0,20.11,150.0,0
2.0,1.02,819.16,0
21.0,1800.55,150.0,0
13.0,1771.62,807.63,0
44.0,8482.97,1403.0,2
2.0,299.7,748.08,0
9.0,401.89,1003.43,0
19.0,997.17,639.01,0
2.0,149.05,664.0,0
15.0,2587.49,1123.0,0
2.0,19.72,0.0,0
3.0,92.05,2800.0,1
4.0,259.06,1304.4,0
2.0,250.03,1200.0,0
4.0,207.71,1022.18,0
35.0,5953.89,1405.0,2
15.0,3241.78,2119.0,1
30.0,5422.18,1377.02,2
3.0,76.11,3396.0,1
2.0,1.02,300.0,0
2.0,1.31,2090.33,1
23.0,2354.39,1070.62,2
10.0,1156.78,517.1,0
14.0,2206.25,160.0,0
